date_pre,date_post,region,erosion_km2,accretion_km2
2019-07-27,2019-08-26,rotes_kliff_kampen,0.0,0.1781
2019-08-26,2019-09-19,rotes_kliff_kampen,0.1385,0.1066
2019-09-19,2019-09-25,rotes_kliff_kampen,0.0993,0.1168
2019-09-25,2019-10-25,rotes_kliff_kampen,0.0101,0.2663
2019-10-25,2019-11-18,rotes_kliff_kampen,0.2047,0.0129
2019-11-18,2019-11-30,rotes_kliff_kampen,0.0311,0.2238
2019-11-30,2020-02-10,rotes_kliff_kampen,0.475,0.0755
2020-02-10,2020-03-05,rotes_kliff_kampen,0.1013,0.2516
2020-03-05,2020-03-11,rotes_kliff_kampen,0.1789,0.0
2020-03-11,2020-04-16,rotes_kliff_kampen,0.1013,0.0203
2020-04-16,2020-04-28,rotes_kliff_kampen,0.0156,0.0976
2020-04-28,2020-05-16,rotes_kliff_kampen,0.1845,0.0129
2020-05-16,2020-05-28,rotes_kliff_kampen,0.0153,0.1789
2020-05-28,2020-06-09,rotes_kliff_kampen,0.0,0.1993
2020-06-09,2020-06-15,rotes_kliff_kampen,0.1518,0.0
2020-06-15,2020-06-27,rotes_kliff_kampen,0.0119,0.0193
2020-06-27,2020-07-09,rotes_kliff_kampen,0.0,0.1803
2020-07-09,2020-07-15,rotes_kliff_kampen,0.0853,0.0175
2020-07-15,2020-08-08,rotes_kliff_kampen,0.0821,0.0147
2020-08-08,2020-08-14,rotes_kliff_kampen,0.0534,0.0009
2020-08-14,2020-09-07,rotes_kliff_kampen,0.0258,0.0215
2020-09-07,2020-10-13,rotes_kliff_kampen,0.0,0.2978
2020-10-13,2020-11-06,rotes_kliff_kampen,0.2384,0.0175
2020-11-06,2020-11-18,rotes_kliff_kampen,0.058,0.037
2020-11-18,2020-12-06,rotes_kliff_kampen,0.0252,0.0429
2020-12-06,2020-12-18,rotes_kliff_kampen,0.0055,0.1205
2020-12-18,2021-01-05,rotes_kliff_kampen,0.2617,0.0
2021-01-05,2021-01-17,rotes_kliff_kampen,0.0175,0.0188
2021-01-17,2021-03-18,rotes_kliff_kampen,0.0142,0.0602
2021-03-18,2021-03-24,rotes_kliff_kampen,0.1035,0.0147
2021-03-24,2021-04-17,rotes_kliff_kampen,0.0101,0.0635
2021-04-17,2021-05-17,rotes_kliff_kampen,0.0046,0.093
2021-05-17,2021-06-16,rotes_kliff_kampen,0.0,0.1291
2021-06-16,2021-06-28,rotes_kliff_kampen,0.1107,0.0018
2021-06-28,2021-08-03,rotes_kliff_kampen,0.0571,0.0553
